n_procs	time_nonblocking	time_blocking
0		
1		
2		
3		
4		
n_procs	time_nonblocking	time_blocking
n_procs	time_nonblocking	time_blocking
0	0.000002	0.000002
1	0.000001	0.000000
2	0.000002	0.000002
3	0.000006	0.000010
4	0.000009	0.000015
n_procs	time_nonblocking	time_blocking
0	0.000002		0.000002
1	0.000001		0.000000
2	0.000002		0.000002
3	0.000007		0.000010
4	0.000009		0.000013
